month,depression,tired,weight loss,anxiety,sad,actual
2018-01,84,55,63,51,84,720
2018-02,88,62,78,57,85,746
2018-03,88,63,75,66,93,756
2018-04,77,59,66,64,80,828
2018-05,65,52,69,52,77,814
2018-06,75,46,63,52,96,365
2018-07,73,56,68,47,100,764
2018-08,61,61,67,57,94,553
2018-09,81,69,61,64,88,840
2018-10,99,75,66,67,81,997
2018-11,92,63,67,72,79,765
2018-12,80,48,59,56,84,788
2019-01,71,45,60,54,75,892
2019-02,91,57,68,53,78,812
2019-03,80,61,74,65,81,881
2019-04,79,51,68,57,74,1003
2019-05,67,52,65,63,68,562
2019-06,64,58,78,53,78,695
2019-07,77,40,81,76,77,909
2019-08,69,64,75,73,84,621
2019-09,91,54,71,74,71,798
2019-10,100,79,72,76,68,867
2019-11,96,66,63,70,71,602
2019-12,83,44,56,64,68,736
2020-01,77,58,65,74,72,650
2020-02,91,66,67,75,75,597
2020-03,91,53,57,88,73,853
2020-04,80,59,59,71,76,413
2020-05,79,50,73,88,83,184
2020-06,97,67,83,86,78,508
2020-07,90,68,91,88,75,569
2020-08,75,67,83,79,77,618
2020-09,73,66,72,75,66,580
2020-10,84,59,60,68,61,633
2020-11,77,58,57,76,64,665
2020-12,75,52,52,78,68,689
2021-01,73,49,64,73,63,730
2021-02,69,56,60,68,66,646
2021-03,82,67,61,78,65,903
2021-04,64,68,62,68,64,604
2021-05,70,59,69,80,66,400
2021-06,73,58,91,67,67,739
2021-07,69,66,80,62,71,451
2021-08,67,54,77,72,61,651
2021-09,68,44,62,69,57,644
2021-10,60,60,57,73,51,631
2021-11,71,58,62,75,62,637
2021-12,66,67,62,72,61,633
2022-01,69,81,61,81,64,704
2022-02,95,100,72,88,66,691
2022-03,100,77,73,100,63,740
2022-04,82,66,68,81,61,311
2022-05,89,76,79,87,72,514
2022-06,78,65,79,81,71,669
2022-07,72,61,80,88,77,370
2022-08,75,65,80,87,65,494
2022-09,86,69,76,96,60,359
2022-10,83,68,73,87,62,469
2022-11,82,54,64,77,61,421
2022-12,77,61,59,77,65,464
2023-01,93,63,70,76,62,547
2023-02,85,82,68,84,61,570
2023-03,71,65,72,76,61,602
2023-04,76,61,70,77,62,243
2023-05,85,75,86,85,62,648
2023-06,73,69,79,77,65,442
2023-07,66,75,100,66,64,506
2023-08,63,71,85,72,65,531
2023-09,75,70,71,86,60,490
2023-10,74,58,72,76,56,632
2023-11,85,67,76,97,60,479
2023-12,69,61,69,84,59,453
2024-01,67,66,78,75,64,550
2024-02,71,61,74,64,61,522
2024-03,60,64,68,68,51,414
2024-04,76,69,75,76,57,362
2024-05,91,69,83,95,55,574
2024-06,68,74,77,91,56,381
2024-07,62,61,99,80,56,451
2024-08,64,68,79,78,58,393
2024-09,71,72,74,76,54,585
